Standard,Test Accuracy,AUC,Precision,Recall
Logit - SVM,0.987517448177,0.867931453192,0.711703149617,0.349727624359
RF - SVM,0.83858991532,0.825455591706,0.834150603644,0.854014868845
RF - Logit,0.837045132973,0.713792872878,0.574128015242,0.312499517608
