Welch,Test Accuracy,AUC,Precision,Recall
Logit - SVM,0.987514558976,0.867896239608,0.711422776649,0.349726225454
RF - SVM,0.838589915295,0.825444904011,0.83410950904,0.85392449793
RF - Logit,0.837006408275,0.71377011516,0.573150893663,0.311849231929
